uid,p,r,i,n,t,Shift,(
21916070.0,876.811475409836,290.8032166508988,312.0613227291754,233.27587311759052,332.2841553906591,431.64504649293997,246.07977223051094
21916070.0,811.6802809957355,291.3149556400507,311.1703470031546,232.49501126488573,332.65986394557825,431.2500862366333,227.5891497461929
21916070.0,842.246511627907,257.3606557377049,312.7017280345108,222.24559023066485,289.42003676470586,532.9676674364896,237.3991769547325
21916070.0,782.2009345794393,241.97131147540983,271.099173553719,218.7792634005853,271.46220930232556,646.88623853211,279.75431034482756
21916070.0,816.912,239.22535211267606,288.3333333333333,250.7084745762712,291.8940862581127,656.9902755267423,293.5992647058824
21916070.0,850.1460997750743,294.00297520661155,312.6417452313089,230.30389523169913,337.1760934279826,422.6569317382125,223.8396820139119
21916070.0,875.7449088960343,291.16408472968703,311.7488459924465,232.9961464354528,332.61807835412566,431.32368315239245,266.7338126940046
21916070.0,817.5593220338983,298.5189991836492,280.3778337531486,245.70967741935485,281.5118733509235,654.7038917089678,289.72265625
21916070.0,873.3010845986985,294.74798619102415,314.61270648030495,229.52590572652903,310.94304596358666,423.7949002217295,217.78204144282427
21916070.0,788.7329192546584,229.84444444444443,288.4184315072611,226.20430107526883,258.5753968253968,602.6961722488038,269.60818713450294
21916070.0,875.1438848920864,291.75429662635264,310.62552831783603,232.02166882276845,329.58784308810783,430.86094316807737,226.77295918367346
21916070.0,858.8223350253808,274.70991797166295,295.79559176113685,225.38299473288185,310.7506387327542,427.2748403994107,229.28721017202693
21916070.0,876.5898256848096,290.73024866226,273.6756102987012,233.46148929370406,332.0787984327384,431.7111722872218,229.02423670129053
21916070.0,883.8586466165414,294.56910299003323,312.28470691934774,230.3104961187985,337.81864211737627,422.30645350887505,226.67824893865986
21916070.0,751.3203883495146,176.46902654867256,209.94252873563218,180.38260869565218,343.2245843377029,436.1219512195122,227.20560747663552
21916070.0,875.3919942300757,292.07049441786285,290.19928713099455,231.5649918962723,333.42490599424906,430.50849997118655,226.28868286445012
21916070.0,860.9597250369555,258.23988439306356,289.818359375,243.22625698324023,315.0833333333333,662.9427792915532,285.52095808383234
21916070.0,876.811475409836,292.75276127551047,312.0613227291754,233.27587311759052,332.2841553906591,431.64504649293997,228.82991479962132
21916070.0,874.446482284666,291.3149556400507,311.1703470031546,232.49501126488573,332.65986394557825,431.2500862366333,227.5891497461929
21916070.0,842.246511627907,257.3606557377049,271.83637946040034,222.24559023066485,289.42003676470586,584.2647117322391,237.3991769547325
21916070.0,782.2009345794393,241.97131147540983,271.099173553719,235.515625,321.0772487104399,646.88623853211,279.75431034482756
21916070.0,816.912,239.22535211267606,288.3333333333333,250.7084745762712,284.0272952853598,656.9902755267423,254.91808189983243
21916070.0,881.752523364486,294.00297520661155,292.7546110113717,230.30389523169913,337.1760934279826,422.6569317382125,223.8396820139119
21916070.0,875.7449088960343,290.94580513098583,311.7488459924465,232.9961464354528,332.61807835412566,431.32368315239245,228.22176526415691
21916070.0,817.5593220338983,243.63059701492537,280.3778337531486,245.70967741935485,281.5118733509235,516.8031867445902,289.72265625
21916070.0,873.3010845986985,294.74798619102415,314.61270648030495,232.66490368024796,338.02659574468083,423.7949002217295,217.78204144282427
21916070.0,788.7329192546584,229.84444444444443,256.3085501858736,230.09689375032244,258.5753968253968,602.6961722488038,269.60818713450294
21916070.0,875.1438848920864,291.75429662635264,310.62552831783603,232.02166882276845,333.2067519858782,599.076597942313,226.77295918367346
21916070.0,858.8223350253808,274.70991797166295,280.20867869332034,225.38299473288185,310.7506387327542,427.2748403994107,235.97099436259546
21916070.0,876.5898256848096,290.73024866226,297.8920651837236,233.46148929370406,332.0787984327384,431.7111722872218,229.02423670129053
21916070.0,883.8586466165414,294.56910299003323,312.28470691934774,232.88263347679643,337.81864211737627,422.30645350887505,223.1102231102231
21916070.0,751.3203883495146,176.46902654867256,311.00738329279426,180.38260869565218,206.19496855345912,436.1219512195122,227.20560747663552
21916070.0,875.3919942300757,235.7606233746186,310.55941537809787,231.5649918962723,333.42490599424906,430.50849997118655,226.28868286445012
21916070.0,833.6677524429967,258.23988439306356,269.90779237727423,243.22625698324023,315.0833333333333,662.9427792915532,285.52095808383234
21916070.0,876.811475409836,259.32747178862763,312.0613227291754,233.27587311759052,332.2841553906591,431.64504649293997,228.82991479962132
21916070.0,875.9971346704871,256.7099247962699,311.1703470031546,232.49501126488573,332.65986394557825,431.2500862366333,227.5891497461929
21916070.0,842.246511627907,257.3606557377049,271.83637946040034,222.24559023066485,289.42003676470586,532.9676674364896,219.8961066781868
21916070.0,782.2009345794393,241.97131147540983,271.099173553719,235.515625,271.46220930232556,646.88623853211,224.4796896954183
21916070.0,816.912,239.22535211267606,288.3333333333333,250.7084745762712,284.0272952853598,441.7011853983298,293.5992647058824
21916070.0,881.752523364486,294.00297520661155,312.6417452313089,230.30389523169913,337.1760934279826,422.6569317382125,247.7612471244649
21916070.0,875.7449088960343,291.16408472968703,311.7488459924465,232.9961464354528,315.02893420303906,431.32368315239245,228.22176526415691
21916070.0,807.2530391584771,243.63059701492537,280.3778337531486,245.70967741935485,281.5118733509235,654.7038917089678,289.72265625
21916070.0,873.3010845986985,294.74798619102415,314.61270648030495,229.52590572652903,338.02659574468083,435.5775009381412,217.78204144282427
21916070.0,788.7329192546584,229.84444444444443,256.3085501858736,226.20430107526883,258.5753968253968,602.6961722488038,247.87489785222382
21916070.0,875.1438848920864,291.75429662635264,310.62552831783603,218.26217794830472,333.2067519858782,430.86094316807737,226.77295918367346
21916070.0,858.8223350253808,274.70991797166295,280.20867869332034,225.38299473288185,310.7506387327542,427.2748403994107,269.90696049751017
21916070.0,854.9286999112719,290.73024866226,312.28440175401965,233.46148929370406,332.0787984327384,431.7111722872218,229.02423670129053
21916070.0,883.8586466165414,298.33308323828084,312.28470691934774,230.3104961187985,337.81864211737627,422.30645350887505,223.1102231102231
21916070.0,751.3203883495146,282.2454288085694,209.94252873563218,180.38260869565218,206.19496855345912,436.1219512195122,227.20560747663552
21916070.0,875.3919942300757,292.07049441786285,310.55941537809787,221.77446172903484,333.42490599424906,430.50849997118655,226.28868286445012
21916070.0,833.6677524429967,258.23988439306356,289.818359375,243.22625698324023,315.0833333333333,662.9427792915532,219.8357902747632
21916070.0,876.811475409836,290.8032166508988,312.0613227291754,233.27587311759052,332.2841553906591,402.0294355630762,228.82991479962132
21916070.0,875.9971346704871,291.3149556400507,311.1703470031546,233.87176026936027,332.65986394557825,431.2500862366333,227.5891497461929
21916070.0,842.246511627907,257.3606557377049,271.83637946040034,222.24559023066485,289.42003676470586,532.9676674364896,230.66410980555057
